id,match_id,team1_name,team2_name,team1_players,team2_players,winner,created_at,updated_at,updated_by
126,Z3RIHH,Autotune's cousin,RIP Solace,"[""tozaki im a mod"",""Retribution"",""Vyrenn"",""variableman#000"",""Vizinachi""]","[""S I L E N T"",""Beau"",""TSM Meat Shark#NA1"",""Flora Aine"",""EV""]",team1,2025-06-19 05:22:49.713113+00,2025-06-19 06:05:29.063643+00,S I L E N T
127,SBOHI2,Driller Drug overdose,Austin's Python,"[""Wesker Exploiter"",""CuteDistraction"",""variableman#000"",""Vizinachi"",""Unfortunate Retribution""]","[""4444"",""tozaki im a mod"",""Vyrenn"",""Beau"",""TSM Meat Shark#NA1""]",team1,2025-06-19 06:05:07.682965+00,2025-06-19 08:50:24.806079+00,4444
128,BMT2YV,Driller Drug overdose,Austin's Python,"[""David"",""Retro"",""way"",""Wisu"",""tozaki im a mod""]","[""S I L E N T"",""TSM Meat Shark#NA1"",""CuteDistraction"",""D4 stuck"",""Beau""]",,2025-06-19 06:42:39.725821+00,,
129,BTB2QB,Driller Drug overdose,Austin's Python,"[""S I L E N T"",""variableman#000"",""Wisu"",""David"",""Zeitoun (Nabil) (He/Him)""]","[""Beau"",""way"",""Retro"",""Wesker Exploiter"",""4444""]",team2,2025-06-19 07:20:48.116431+00,2025-06-19 08:50:13.435614+00,4444
130,34X6E6,Wuss Squad,Dried peen,"[""S I L E N T"",""CuteDistraction"",""Wisu"",""TSM Meat Shark#NA1"",""variableman#000""]","[""David"",""Wesker Exploiter"",""Beau"",""Retro"",""Zeitoun (Nabil) (He/Him)""]",team2,2025-06-19 07:59:28.299896+00,2025-06-19 10:14:59.528157+00,S I L E N T
131,EKOMP1,Chinese Tariffs,Shaved bootyhole,"[""S I L E N T"",""Retro"",""4444"",""TSM Meat Shark#NA1"",""CuteDistraction""]","[""Wisu"",""Beau"",""Zeitoun (Nabil) (He/Him)"",""David"",""variableman#000""]",team1,2025-06-19 08:48:14.660817+00,2025-06-19 10:14:55.759209+00,S I L E N T
132,8OXC14,Twasen and bumble,Marc Carney's butt,"[""Retro"",""David"",""4444"",""Ign: Wreckboy"",""S I L E N T""]","[""Wisu"",""Beau"",""Brandon"",""YV"",""Sable""]",team1,2025-06-19 09:32:20.368622+00,2025-06-19 10:14:33.752659+00,Ign: Wreckboy
133,2LM2FT,My name is Ross,Masala Party,"[""Retribution"",""Beau"",""David"",""Retro"",""TSM Meat Shark#NA1""]","[""Luvgramy"",""Brandon"",""CuteDistraction"",""4444"",""ridn | 七喜零糖#zzzz""]",team1,2025-06-20 07:11:32.14205+00,2025-06-20 08:00:15.917916+00,4444
134,2L1J35,RIP Solace,Silent is _____,"[""TSM Meat Shark#NA1"",""Luvgramy"",""Retro"",""Beau"",""Brandon""]","[""CuteDistraction"",""David"",""ridn | 七喜零糖#zzzz"",""4444"",""S I L E N T""]",team1,2025-06-20 07:58:41.517848+00,2025-06-20 21:43:59.861883+00,TSM Meat Shark#NA1
135,XXPVBD,Wuss Squad,Dried peen,"[""S I L E N T"",""TSM Meat Shark#NA1"",""Luvgramy"",""Retro"",""David""]","[""4444"",""CuteDistraction"",""Beau"",""Brandon"",""Sable""]",team1,2025-06-20 08:45:11.428289+00,2025-06-20 21:43:10.144165+00,TSM Meat Shark#NA1
136,4K286M,RIP Solace,Silent is _____,"[""Vizinachi"",""Beau"",""4444"",""TSM Meat Shark#NA1"",""SafeLight""]","[""Zeitoun (Nabil) (He/Him)"",""Ign: Wreckboy"",""Tsawwassen"",""Brandon"",""ridn | 七喜零糖#zzzz""]",,2025-06-20 21:41:15.709867+00,,
137,P6NOOS,Autotune's cousin,RIP Solace,"[""Vizinachi"",""Brandon"",""Beau"",""Tsawwassen"",""SafeLight""]","[""ridn | 七喜零糖#zzzz"",""TSM Meat Shark#NA1"",""Zeitoun (Nabil) (He/Him)"",""Recursive Grey"",""4444""]",team2,2025-06-20 21:43:04.930197+00,2025-06-20 23:13:32.291293+00,TSM Meat Shark#NA1
138,L732VD,David's Coochies,Driller Drug overdose,"[""Luvgramy"",""Ign: Wreckboy"",""Vizinachi"",""Beau"",""Recursive Grey""]","[""Tsawwassen"",""Zeitoun (Nabil) (He/Him)"",""ridn | 七喜零糖#zzzz"",""4444"",""TSM Meat Shark#NA1""]",team2,2025-06-20 22:27:35.039854+00,2025-06-20 23:13:36.816887+00,TSM Meat Shark#NA1
139,RQBZRU,Twasen and bumble,Marc Carney's butt,"[""S I L E N T"",""David"",""TSM Meat Shark#NA1"",""variableman#000"",""CuteDistraction""]","[""Vizinachi"",""Brandon"",""Luvdog"",""Rhapthorn2"",""President Rakan""]",team2,2025-06-27 07:43:33.893293+00,2025-06-27 09:57:04.409473+00,S I L E N T
140,UQ6TNN,Autotune's cousin,RIP Solace,"[""Luvdog"",""David"",""variableman#000"",""Rhapthorn2"",""Brandon""]","[""Vizinachi"",""TSM Meat Shark#NA1"",""S I L E N T"",""CuteDistraction"",""4444""]",team1,2025-06-27 08:25:56.167922+00,2025-06-27 09:56:59.575336+00,S I L E N T
141,270QFF,Driller Drug overdose,Austin's Python,"[""Retribution"",""S I L E N T"",""4444"",""TSM Meat Shark#NA1"",""CuteDistraction""]","[""David"",""Luvdog"",""Rhapthorn2"",""variableman#000"",""Brian""]",team1,2025-06-27 09:04:36.715486+00,2025-06-27 09:56:31.673719+00,S I L E N T
142,93AUPK,Silent is _____,Wuss Squad,"[""TSM Meat Shark#NA1"",""Quixxy"",""Zeitoun (Nabil) (He/Him)"",""Luvhog"",""Vizinachi""]","[""S I L E N T"",""Retribution"",""Giovanni Reyes"",""Sable"",""CuteDistraction""]",,2025-06-28 06:11:58.070727+00,,
143,0MJ17M,Driller Drug overdose,Austin's Python,"[""Luvhog"",""Sable"",""Zeitoun (Nabil) (He/Him)"",""Vizinachi"",""Quixxy""]","[""CuteDistraction"",""TSM Meat Shark#NA1"",""S I L E N T"",""Giovanni Reyes"",""Retribution""]",team1,2025-06-28 06:13:22.891188+00,2025-06-28 07:40:44.978098+00,S I L E N T
144,BSSG63,We are racist,David's Coochies,"[""S I L E N T"",""Luvhog"",""CuteDistraction"",""Retribution"",""Zeitoun (Nabil) (He/Him)""]","[""TSM Meat Shark#NA1"",""Vizinachi"",""Quixxy"",""Brian"",""David""]",team1,2025-06-28 06:43:48.931086+00,2025-06-28 07:40:49.42289+00,S I L E N T
145,TLMOJ2,Austin's Python,Twasen and bumble,"[""variableman#000"",""Vizinachi"",""CuteDistraction"",""Brian"",""TSM Meat Shark#NA1""]","[""David"",""Retribution"",""S I L E N T"",""Quixxy"",""SafeLight""]",team1,2025-06-28 07:36:08.239714+00,2025-06-28 08:35:42.392842+00,TSM Meat Shark#NA1
146,GLLNWW,Twasen and bumble,Marc Carney's butt,"[""Matthias H"",""variableman#000"",""S I L E N T"",""Quixxy"",""TSM Meat Shark#NA1""]","[""Retro"",""Brian"",""CuteDistraction"",""SafeLight"",""Quinn Wuest""]",team2,2025-06-28 08:22:00.853794+00,2025-06-28 10:19:54.427036+00,S I L E N T
147,ICIHYQ,Wuss Squad,Dried peen,"[""kynxsolarsun"",""Luvhog"",""Matthias H"",""Quinn Wuest"",""Quixxy""]","[""Brian"",""S I L E N T"",""TSM Meat Shark#NA1"",""SafeLight"",""CuteDistraction""]",team1,2025-06-28 09:22:18.776025+00,2025-06-28 10:19:56.118188+00,S I L E N T
148,WUFSNT,Shaved bootyhole,We are racist,"[""4444"",""Brandon"",""Zeitoun (Nabil) (He/Him)"",""Luvhog"",""TSM Meat Shark#NA1""]","[""Retro"",""Beau"",""Retribution"",""variableman#000"",""Sable""]",,2025-06-30 08:42:41.280485+00,,
149,2DBBFX,Marc Carney's butt,Autotune's cousin,"[""Beau"",""Retro"",""Luvhog"",""Brandon"",""Zeitoun (Nabil) (He/Him)""]","[""TSM Meat Shark#NA1"",""variableman#000"",""Brian"",""David"",""4444""]",team2,2025-06-30 08:46:09.734233+00,2025-06-30 09:32:33.655344+00,4444
150,J6R2OM,Autotune's cousin,RIP Solace,"[""variableman#000"",""Luvhog"",""Retro"",""4444"",""TSM Meat Shark#NA1""]","[""Zeitoun (Nabil) (He/Him)"",""Beau"",""Brian"",""Brandon"",""Ign: Wreckboy""]",team2,2025-06-30 09:37:59.946454+00,2025-06-30 10:25:10.188669+00,Ign: Wreckboy
