id,match_id,team1_name,team2_name,team1_players,team2_players,winner,created_at,updated_at,updated_by
45,V4Z5I8,We are racist,David's Coochies,"[""Vizinachi"",""xtoads6"",""CuteDistraction"",""TSM Meat Shark#NA1"",""Clown""]","[""S I L E N T"",""Ign: Wreckboy"",""Matthias H"",""ekko"",""Ledge""]",team2,2025-06-01 06:32:52.48304+00,2025-06-01 07:22:47.630971+00,S I L E N T
46,PWDG91,We are racist,David's Coochies,"[""luvgramy"",""David"",""4444"",""Sable"",""Matthias H""]","[""CuteDistraction"",""xtoads6"",""TSM Meat Shark#NA1"",""Vizinachi"",""Clown""]",,2025-06-01 07:22:14.737416+00,,
47,IKS5PC,RIP Solace,Silent is _____,"[""Ign: Wreckboy"",""Hoho"",""Striker"",""Matthias H"",""Sable""]","[""luvgramy"",""David"",""TSM Meat Shark#NA1"",""CuteDistraction"",""Tsawwassen""]",team2,2025-06-01 08:06:28.580888+00,2025-06-01 09:05:06.210887+00,Tsawwassen
48,6D42SN,Marc Carney's butt,Autotune's cousin,"[""jiffy"",""Vizinachi"",""David"",""ekko"",""Rockstar wolf""]","[""S I L E N T"",""Ign: Wreckboy"",""Matthias H"",""4444"",""luvgramy""]",team1,2025-06-02 06:39:05.756396+00,2025-06-02 07:50:07.95857+00,S I L E N T
49,804NRR,RIP Solace,Silent is _____,"[""luvgramy"",""Vizinachi"",""David"",""jiffy"",""ekko""]","[""Matthias H"",""S I L E N T"",""4444"",""Rhapthorn2"",""TSM Meat Shark#NA1""]",team2,2025-06-02 07:12:13.923741+00,2025-06-02 07:49:35.766773+00,S I L E N T
50,F3TYOV,Driller Drug overdose,Austin's Python,"[""Vizinachi"",""Sable"",""Bendover"",""TSM Meat Shark#NA1"",""lucy""]","[""David"",""giodude"",""ºÇrę8ívęßęąšł ŃÅ #NA1"",""Ign: Wreckboy"",""luvgramy""]",,2025-06-03 02:59:21.643454+00,,
51,B4YGWA,Chinese Tariffs,Shaved bootyhole,"[""luvgramy"",""David"",""lucy"",""Rhapthorn2"",""giodude""]","[""Vizinachi"",""Driller"",""ºÇrę8ívęßęąšł ŃÅ #NA1"",""Ign: Wreckboy"",""jiffy""]",,2025-06-03 04:05:25.101053+00,,
52,EJHUMG,Chinese Tariffs,Shaved bootyhole,"[""Vizinachi"",""giodude"",""lucy"",""ºÇrę8ívęßęąšł ŃÅ #NA1"",""jiffy""]","[""David"",""Driller"",""Ign: Wreckboy"",""luvgramy"",""Rhapthorn2""]",,2025-06-03 04:12:20.929198+00,,
53,ORG8ZC,Dried peen,My name is Ross,"[""Vizinachi"",""David"",""lucy"",""Ign: Wreckboy"",""Driller""]","[""ºÇrę8ívęßęąšł ŃÅ #NA1"",""jiffy"",""Rhapthorn2"",""luvgramy"",""giodude""]",,2025-06-03 04:13:26.72487+00,,
54,QZIZ1X,David's Coochies,Driller Drug overdose,"[""TSM Meat Shark#NA1"",""CuteDistraction"",""S I L E N T"",""luvgramy"",""Brandon""]","[""Ign: Wreckboy"",""naehero"",""4444"",""Vizinachi"",""Myyst""]",team1,2025-06-03 06:09:26.531762+00,2025-06-03 07:20:35.545333+00,S I L E N T
55,KNFRF1,Masala Party,Chinese Tariffs,"[""David"",""Myyst"",""4444"",""Brandon"",""luvgramy""]","[""Vizinachi"",""S I L E N T"",""CuteDistraction"",""TSM Meat Shark#NA1"",""naehero""]",team2,2025-06-03 06:41:16.080814+00,2025-06-03 07:20:38.756843+00,S I L E N T
56,OHYSU2,Wuss Squad,Dried peen,"[""Vizinachi"",""4444"",""CuteDistraction"",""Ign: Wreckboy"",""Zylith""]","[""TSM Meat Shark#NA1"",""CyaNoobK0"",""S I L E N T"",""David"",""President Rakan""]",,2025-06-04 07:58:34.625803+00,,
57,Y6I3WE,Shaved bootyhole,We are racist,"[""David"",""two arms swole"",""Vizinachi"",""CuteDistraction"",""S I L E N T""]","[""EV"",""Changed \""Driller\"" Man"",""TSM Meat Shark#NA1"",""Zeitoun (Nabil) (He/Him)"",""Retribution""]",,2025-06-05 07:10:55.363693+00,,
58,3XZ9Q9,Austin's Python,Twasen and bumble,"[""4444"",""Zeitoun (Nabil) (He/Him)"",""Vizinachi"",""CuteDistraction"",""Changed \""Driller\"" Man""]","[""David"",""TSM Meat Shark#NA1"",""Ky"",""S I L E N T"",""Retribution""]",team1,2025-06-05 07:54:53.876501+00,2025-06-05 08:44:39.248731+00,4444
59,4UOPVV,David's Coochies,Driller Drug overdose,"[""David"",""Zeitoun (Nabil) (He/Him)"",""Sable"",""CuteDistraction"",""4444""]","[""Vizinachi"",""cammioo."",""S I L E N T"",""TSM Meat Shark#NA1"",""Changed \""Driller\"" Man""]",team2,2025-06-05 08:45:37.326264+00,2025-06-05 09:30:47.396994+00,S I L E N T
60,J0FKIT,David's Coochies,Driller Drug overdose,"[""Titanic Crayfish"",""softshrimp"",""aä, ö玄米って美味しい！"",""Blackman"",""EV""]","[""YV"",""Vizinachi"",""Driller"",""BigPapa"",""Rev. Dank""]",,2025-06-06 04:30:31.671039+00,,
61,FULF0X,We are racist,David's Coochies,"[""Titanic Crayfish"",""softshrimp"",""aä, ö玄米って美味しい！"",""Blackman"",""EV""]","[""Vizinachi"",""YV"",""Rev. Dank"",""BigPapa"",""Driller""]",,2025-06-06 04:30:54.107632+00,,
62,4ZJKHU,Wuss Squad,Dried peen,"[""StrangeUnit"",""Blackman"",""BigPapa"",""aä, ö玄米って美味しい！"",""EV""]","[""softshrimp"",""Vizinachi"",""YV"",""Driller"",""Rev. Dank""]",team1,2025-06-06 04:34:30.042393+00,2025-06-06 05:24:25.479669+00,TSM Meat Shark#NA1
63,2R9EOL,Marc Carney's butt,Autotune's cousin,"[""Retro"",""david \""Vyrenn\"" wet dreamer"",""Blackman"",""Vizinachi"",""Zylith""]","[""YV"",""Rev. Dank"",""Rhapthorn2"",""StrangeUnit"",""softshrimp""]",team2,2025-06-06 05:21:23.557615+00,2025-06-06 06:12:56.792172+00,TSM Meat Shark#NA1
64,73CB2T,Twasen and bumble,Marc Carney's butt,"[""Beau"",""David"",""S I L E N T"",""Blackman"",""CuteDistraction""]","[""Vizinachi"",""Zylith"",""aä, ö玄米って美味しい！"",""StrangeUnit"",""softshrimp""]",team1,2025-06-06 06:10:42.173175+00,2025-06-06 07:03:49.812359+00,S I L E N T
65,YWZC04,Wuss Squad,Dried peen,"[""Beau"",""David"",""S I L E N T"",""Blackman"",""CuteDistraction""]","[""Vizinachi"",""Zylith"",""aä, ö玄米って美味しい！"",""StrangeUnit"",""softshrimp""]",team1,2025-06-06 06:10:42.347991+00,2025-06-06 07:03:26.387386+00,S I L E N T
66,Z2HIAQ,My name is Ross,Masala Party,"[""Beau"",""Vizinachi"",""Zylith"",""softshrimp"",""Ign: Wreckboy""]","[""David"",""CuteDistraction"",""TSM Meat Shark#NA1"",""4444"",""Ky""]",team1,2025-06-06 07:11:46.446653+00,2025-06-06 09:26:59.782066+00,4444
67,MINO95,Wuss Squad,Dried peen,"[""Striker"",""tozaki"",""softshrimp"",""CuteDistraction"",""Ign: Wreckboy""]","[""Vizinachi"",""Zylith"",""Beau"",""David"",""TSM Meat Shark#NA1""]",team1,2025-06-06 07:54:03.100571+00,2025-06-06 08:46:45.503076+00,Ign: Wreckboy
68,DSTJ41,Wuss Squad,Dried peen,"[""Ign: Wreckboy"",""Sable"",""Vizinachi"",""Beau"",""David""]","[""Driller"",""CuteDistraction"",""tozaki"",""4444"",""TSM Meat Shark#NA1""]",team2,2025-06-06 08:46:37.553555+00,2025-06-06 09:26:02.409993+00,TSM Meat Shark#NA1
69,ZCIEQH,RIP Solace,Silent is _____,"[""Ign: Wreckboy"",""YV"",""Driller"",""david \""Vyrenn\"" wet dreamer"",""Pimp Named SlickBack""]","[""Titanic Crayfish"",""naehero"",""rubycharity"",""Vivian"",""eshshah""]",team2,2025-06-07 04:08:48.032864+00,2025-06-07 06:38:10.211654+00,Quixxy#qte
70,9OUIQ4,Chinese Tariffs,Shaved bootyhole,"[""eshshah"",""TSM Meat Shark#NA1"",""Vizinachi"",""david \""Vyrenn\"" wet dreamer"",""institutional""]","[""Ign: Wreckboy"",""Zylith"",""S I L E N T"",""Tsawwassen"",""Price""]",team2,2025-06-07 06:35:14.495726+00,2025-06-07 07:19:52.759882+00,S I L E N T
71,BPPY8V,Silent is _____,Wuss Squad,"[""TSM Meat Shark#NA1"",""CuteDistraction"",""Tsawwassen"",""Vizinachi"",""Zylith""]","[""eshshah"",""Ign: Wreckboy"",""Price"",""david \""Vyrenn\"" wet dreamer"",""KoEz""]",,2025-06-07 07:24:53.591951+00,,
72,X3TRH1,We are racist,David's Coochies,"[""Ign: Wreckboy"",""KoEz"",""CuteDistraction"",""Price"",""way""]","[""eshshah"",""Tsawwassen"",""TSM Meat Shark#NA1"",""Zylith"",""Vizinachi""]",,2025-06-07 07:29:12.595992+00,,
73,UTBIFD,Dried peen,My name is Ross,"[""david \""Vyrenn\"" wet dreamer"",""Tsawwassen"",""eshshah"",""Zylith"",""way""]","[""CuteDistraction"",""Price"",""KoEz"",""TSM Meat Shark#NA1"",""Vizinachi""]",,2025-06-07 07:34:15.924631+00,,
74,3TZCCM,Marc Carney's butt,Autotune's cousin,"[""Matthias H"",""KoEz"",""Beau"",""CuteDistraction"",""Price""]","[""Vizinachi"",""Zylith"",""way"",""TSM Meat Shark#NA1"",""eshshah""]",,2025-06-07 08:31:06.342611+00,,
75,70QU9A,Wuss Squad,Dried peen,"[""Retribution"",""David"",""Zylith"",""Matthias H"",""S I L E N T""]","[""way"",""TSM Meat Shark#NA1"",""Vizinachi"",""Beau"",""eshshah""]",team2,2025-06-07 09:14:03.025319+00,2025-06-07 10:12:57.130215+00,TSM Meat Shark#NA1
76,TEFL0Z,Masala Party,Chinese Tariffs,"[""Beau"",""Vizinachi"",""CuteDistraction"",""Zeitoun (Nabil) (He/Him)"",""RipSR""]","[""David"",""S I L E N T"",""TSM Meat Shark#NA1"",""aä, ö玄米って美味しい！"",""Quixxy#qte""]",team1,2025-06-08 07:32:54.710919+00,2025-06-08 08:10:58.896501+00,Quixxy#qte
77,0XYTAZ,We are racist,David's Coochies,"[""way"",""S I L E N T"",""Zeitoun (Nabil) (He/Him)"",""Vizinachi"",""CuteDistraction""]","[""4444"",""TSM Meat Shark#NA1"",""David"",""Beau"",""aä, ö玄米って美味しい！""]",team1,2025-06-08 08:10:17.016478+00,2025-06-08 08:51:45.779169+00,S I L E N T
78,312341,Autotune's cousin,RIP Solace,"[""Zeitoun (Nabil) (He/Him)"",""Titanic Crayfish"",""luvgramy"",""4444"",""King Bowser""]","[""Quixxy#qte"",""Tsawwassen"",""Biiipu"",""vvicked_sin"",""Vizinachi""]",team2,2025-06-08 21:31:10.357239+00,2025-06-08 22:12:21.537407+00,Titanic Crayfish
79,PTO2XN,David's Coochies,Driller Drug overdose,"[""Beau"",""King Bowser"",""Tsawwassen"",""Quixxy#qte"",""vvicked_sin""]","[""luvgramy"",""4444"",""Zeitoun (Nabil) (He/Him)"",""Dreamer Broskie Driller"",""Vizinachi""]",team2,2025-06-08 22:12:50.935225+00,2025-06-08 22:59:32.405357+00,4444
80,YPYQDO,Dried peen,My name is Ross,"[""Vizinachi"",""YV"",""Beau"",""Ign: Wreckboy"",""David""]","[""TSM Meat Shark#NA1"",""S I L E N T"",""Zeitoun (Nabil) (He/Him)"",""Retribution"",""Dreamer Broskie Driller""]",,2025-06-09 06:52:24.306871+00,,
81,XTVAOC,Autotune's cousin,RIP Solace,"[""Vizinachi"",""Beau"",""Zeitoun (Nabil) (He/Him)"",""TSM Meat Shark#NA1"",""Retro""]","[""David"",""YV"",""Dreamer Broskie Driller"",""S I L E N T"",""Ign: Wreckboy""]",team2,2025-06-09 06:58:23.208066+00,2025-06-09 09:25:20.948288+00,S I L E N T
82,2U8V6A,RIP Solace,Silent is _____,"[""Matthias H"",""Vizinachi"",""Zeitoun (Nabil) (He/Him)"",""Retro"",""David""]","[""Dreamer Broskie Driller"",""YV"",""TSM Meat Shark#NA1"",""Beau"",""S I L E N T""]",,2025-06-09 07:40:47.201311+00,,
83,0I8OEZ,Wuss Squad,Dried peen,"[""David"",""Vizinachi"",""Zeitoun (Nabil) (He/Him)"",""Retro"",""TSM Meat Shark#NA1""]","[""Matthias H"",""YV"",""S I L E N T"",""Ign: Wreckboy"",""Dreamer Broskie Driller""]",,2025-06-09 07:41:52.575003+00,,
84,1LXVT1,Chinese Tariffs,Shaved bootyhole,"[""S I L E N T"",""Matthias H"",""YV"",""TSM Meat Shark#NA1"",""jiffy""]","[""Vizinachi"",""Retro"",""Zeitoun (Nabil) (He/Him)"",""RipSR"",""Ign: Wreckboy""]",team2,2025-06-09 07:54:57.989416+00,2025-06-09 08:34:24.094282+00,Ign: Wreckboy
85,MVBGMN,Austin's Python,Twasen and bumble,"[""S I L E N T"",""Retribution"",""TSM Meat Shark#NA1"",""David"",""Vizinachi""]","[""Matthias H"",""YV"",""Zeitoun (Nabil) (He/Him)"",""Retro"",""RipSR""]",team2,2025-06-09 08:33:08.607961+00,2025-06-09 09:25:23.918263+00,S I L E N T
86,MNY2C0,We are racist,David's Coochies,"[""Vizinachi"",""Retro"",""Retribution"",""Zeitoun (Nabil) (He/Him)"",""Beau""]","[""David"",""Sable"",""S I L E N T"",""YV"",""4444""]",team1,2025-06-10 06:10:28.239994+00,2025-06-10 06:43:51.75076+00,S I L E N T
87,XB6BNK,We are racist,David's Coochies,"[""David"",""S I L E N T"",""RipSR"",""Retro"",""Dreamer Broskie Driller""]","[""Vizinachi"",""Retribution"",""Ign: Wreckboy"",""Beau"",""Zeitoun (Nabil) (He/Him)""]",team2,2025-06-10 06:41:07.457408+00,2025-06-10 07:16:30.263743+00,S I L E N T
88,LOSEIO,Twasen and bumble,Marc Carney's butt,"[""S I L E N T"",""Vizinachi"",""David"",""Beau"",""Ign: Wreckboy""]","[""Zeitoun (Nabil) (He/Him)"",""Retribution"",""RipSR"",""Retro"",""Dreamer Broskie Driller""]",team2,2025-06-10 07:18:47.593232+00,2025-06-10 08:07:00.957713+00,S I L E N T
89,RO0HWL,Silent is _____,Wuss Squad,"[""Vizinachi"",""Dreamer Broskie Driller"",""TSM Meat Shark#NA1"",""Rhapthorn2"",""Zeitoun (Nabil) (He/Him)""]","[""Ign: Wreckboy"",""CuteDistraction"",""S I L E N T"",""Matthias H"",""luvgramy""]",team1,2025-06-11 06:40:09.053319+00,2025-06-11 07:13:15.42735+00,TSM Meat Shark#NA1
90,XWXXGM,We are racist,David's Coochies,"[""Retribution"",""luvgramy"",""Zeitoun (Nabil) (He/Him)"",""Matthias H"",""Rhapthorn2""]","[""David"",""S I L E N T"",""Vizinachi"",""CuteDistraction"",""TSM Meat Shark#NA1""]",,2025-06-11 07:11:18.923108+00,,
91,4NEHX6,Autotune's cousin,RIP Solace,"[""Retro"",""4444"",""Vizinachi"",""David"",""CuteDistraction""]","[""S I L E N T"",""TSM Meat Shark#NA1"",""luvgramy"",""Rhapthorn2"",""Retribution""]",team2,2025-06-11 07:48:56.40241+00,2025-06-11 08:15:05.055702+00,S I L E N T
92,7DRKXK,Masala Party,Chinese Tariffs,"[""Retro"",""luvgramy"",""David"",""Retribution"",""Vizinachi""]","[""CuteDistraction"",""4444"",""TSM Meat Shark#NA1"",""S I L E N T"",""Zeitoun (Nabil) (He/Him)""]",,2025-06-11 08:16:24.27912+00,,
93,MQ357R,Marc Carney's butt,Autotune's cousin,"[""Vizinachi"",""TSM Meat Shark#NA1"",""xtoads6"",""CuteDistraction"",""Retro""]","[""Ign: Wreckboy"",""Flippy bird, Fuckface/otherside"",""luvgramy"",""Caleb"",""S I L E N T""]",team1,2025-06-12 05:11:15.136518+00,2025-06-12 05:52:56.17752+00,TSM Meat Shark#NA1
94,7LNIWB,Dried peen,My name is Ross,"[""David"",""CuteDistraction"",""Vizinachi"",""EV"",""way""]","[""S I L E N T"",""xtoads6"",""TSM Meat Shark#NA1"",""luvgramy"",""Retro""]",team1,2025-06-12 05:53:29.716516+00,2025-06-12 07:05:42.479119+00,S I L E N T
95,K6SZG7,Marc Carney's butt,Autotune's cousin,"[""David"",""S I L E N T"",""xtoads6"",""Vizinachi"",""Retro""]","[""way"",""CuteDistraction"",""TSM Meat Shark#NA1"",""YV"",""Eli""]",team1,2025-06-12 06:35:35.369349+00,2025-06-12 07:05:49.603782+00,S I L E N T
96,XFPW58,Austin's Python,Twasen and bumble,"[""David"",""Eli"",""Vizinachi"",""xtoads6"",""luvgramy""]","[""Zeitoun (Nabil) (He/Him)"",""S I L E N T"",""CuteDistraction"",""Rhapthorn2"",""TSM Meat Shark#NA1""]",team2,2025-06-12 07:04:32.708558+00,2025-06-12 08:38:46.032741+00,S I L E N T
97,NICLZ2,Wuss Squad,Dried peen,"[""David"",""Eli"",""Vizinachi"",""xtoads6"",""luvgramy""]","[""Zeitoun (Nabil) (He/Him)"",""S I L E N T"",""CuteDistraction"",""Rhapthorn2"",""TSM Meat Shark#NA1""]",team1,2025-06-12 07:04:32.851933+00,2025-06-12 08:38:47.25808+00,S I L E N T
98,KBH71N,We are racist,David's Coochies,"[""Vizinachi"",""Eli"",""Zeitoun (Nabil) (He/Him)"",""xtoads6"",""TSM Meat Shark#NA1""]","[""luvgramy"",""S I L E N T"",""David"",""Rhapthorn2"",""Matthias H""]",team2,2025-06-12 07:49:23.806257+00,2025-06-12 08:38:50.203419+00,S I L E N T
99,V2CME2,Marc Carney's butt,Autotune's cousin,"[""4444"",""Zeitoun (Nabil) (He/Him)"",""TSM Meat Shark#NA1"",""Vizinachi"",""Matthias H""]","[""luvgramy"",""xtoads6"",""David"",""S I L E N T"",""Rhapthorn2""]",team2,2025-06-12 08:39:11.66645+00,2025-06-12 09:17:27.514042+00,S I L E N T
100,55X4MX,Wuss Squad,Dried peen,"[""xtoads6"",""Zeitoun (Nabil) (He/Him)"",""David"",""4444"",""Vizinachi""]","[""Matthias H"",""luvgramy"",""S I L E N T"",""Rhapthorn2"",""Retro""]",team1,2025-06-12 09:26:15.605476+00,2025-06-12 10:10:29.826177+00,4444
101,RRMPR2,Shaved bootyhole,We are racist,"[""Retro"",""Vizinachi"",""Ky"",""YV"",""Zeitoun (Nabil) (He/Him)""]","[""Driller"",""Brandon"",""4444"",""EV"",""Matthias H""]",team1,2025-06-13 05:07:07.848846+00,2025-06-13 08:27:33.608742+00,Quixxy#qte
102,HE7CTX,Twasen and bumble,Marc Carney's butt,"[""Vizinachi"",""Retribution"",""Zeitoun (Nabil) (He/Him)"",""Ign: Wreckboy"",""RipSR""]","[""David"",""Rhapthorn2"",""Retro"",""S I L E N T"",""Driller""]",team1,2025-06-13 07:35:10.60038+00,2025-06-13 08:25:34.125008+00,Ign: Wreckboy
103,FXQ4L6,RIP Solace,Silent is _____,"[""S I L E N T"",""Zeitoun (Nabil) (He/Him)"",""David"",""Vizinachi"",""Ign: Wreckboy""]","[""Retro"",""Retribution"",""RipSR"",""Rhapthorn2"",""Driller""]",team2,2025-06-13 08:26:32.891445+00,2025-06-13 10:19:21.650158+00,S I L E N T
104,CGBMK6,Twasen and bumble,Marc Carney's butt,"[""Zeitoun (Nabil) (He/Him)"",""S I L E N T"",""Retribution"",""David"",""Driller""]","[""Vizinachi"",""Ign: Wreckboy"",""Quixxy#qte"",""Retro"",""YV""]",team1,2025-06-13 09:12:03.973051+00,2025-06-13 10:19:13.195315+00,Quixxy#qte
105,U84Z19,Twasen and bumble,Marc Carney's butt,"[""Vizinachi"",""David"",""CyaNoobK0"",""EV"",""Ign: Wreckboy""]","[""Zylith"",""luvgramy"",""tozaki"",""Titanic Crayfish"",""S I L E N T""]",team2,2025-06-14 03:20:35.925666+00,2025-06-14 04:01:58.733981+00,Titanic Crayfish
106,4SFNOE,RIP Solace,Silent is _____,"[""Titanic Crayfish"",""Zylith"",""S I L E N T"",""CyaNoobK0"",""EV""]","[""David"",""Vizinachi"",""luvgramy"",""Ahmad Shāh Massoud"",""Ky""]",team2,2025-06-14 04:00:10.083881+00,2025-06-14 04:39:49.991593+00,Titanic Crayfish
